epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,139.244,0.63997,1.39955,1.29921,0.55544,0.83302,0.85514,0.73336,0.58326,1.04831,1.04058,0.00013825,0.00013825,0.00013825
120,140.333,0.79457,1.54322,1.44404,0.51021,0.85554,0.84757,0.73238,0.57382,1.05545,1.02994,0.000134125,0.000134125,0.000134125
121,141.388,0.74984,1.55316,1.37696,0.51021,0.85554,0.84757,0.73238,0.57382,1.05545,1.02994,0.00013,0.00013,0.00013
122,142.529,0.75443,1.51813,1.43877,0.52074,0.88472,0.81683,0.71003,0.55816,1.07671,1.01627,0.000125875,0.000125875,0.000125875
123,143.614,0.6148,1.48099,1.33352,0.582,0.76545,0.77583,0.67272,0.54802,1.07926,1.01091,0.00012175,0.00012175,0.00012175
124,144.951,0.64826,1.40841,1.32602,0.57994,0.69391,0.76298,0.66522,0.55427,1.0874,1.0208,0.000117625,0.000117625,0.000117625
125,146.427,0.77311,1.50642,1.42156,0.57994,0.69391,0.76298,0.66522,0.55427,1.0874,1.0208,0.0001135,0.0001135,0.0001135
126,147.708,0.76989,1.54062,1.43621,0.56375,0.73162,0.76589,0.66159,0.56616,1.11311,1.03845,0.000109375,0.000109375,0.000109375
127,148.798,0.71885,1.49826,1.3958,0.56507,0.79488,0.78806,0.67811,0.56943,1.1194,1.04173,0.00010525,0.00010525,0.00010525
128,149.89,0.62515,1.46338,1.32265,0.63024,0.82458,0.79672,0.68967,0.56661,1.083,1.03414,0.000101125,0.000101125,0.000101125
129,150.928,0.73321,1.56693,1.43818,0.63024,0.82458,0.79672,0.68967,0.56661,1.083,1.03414,9.7e-05,9.7e-05,9.7e-05
130,152.04,0.73747,1.54004,1.35511,0.65514,0.81566,0.81368,0.69898,0.56819,1.04732,1.02818,9.2875e-05,9.2875e-05,9.2875e-05
